"","taxon","lfc_(Intercept)","lfc_Timepoint2","lfc_Timepoint3","lfc_Timepoint4","lfc_TreatmentIntact","se_(Intercept)","se_Timepoint2","se_Timepoint3","se_Timepoint4","se_TreatmentIntact","W_(Intercept)","W_Timepoint2","W_Timepoint3","W_Timepoint4","W_TreatmentIntact","p_(Intercept)","p_Timepoint2","p_Timepoint3","p_Timepoint4","p_TreatmentIntact","q_(Intercept)","q_Timepoint2","q_Timepoint3","q_Timepoint4","q_TreatmentIntact","diff_(Intercept)","diff_Timepoint2","diff_Timepoint3","diff_Timepoint4","diff_TreatmentIntact","Kingdom","Phylum","Class","Order","Family","Genus","Species","Experiment","Compartment","Variety"
"1","Zotu1",1.08225601343209,-0.391577190661939,-1.34742507782265,-1.06494678179997,-0.759156608088156,0.300189842828994,0.37971563223532,0.379714762799417,0.379712708814228,0.268497370530089,3.60523861578024,-1.03123800396837,-3.54851907228696,-2.80461190020635,-2.82742660231409,0.000311866245708381,0.302429222952281,0.000387403941330298,0.0050377197532939,0.00469237708690801,0.00736504214401794,0.534435442308678,0.0062953898068383,0.137197474132259,0.500520222603521,TRUE,FALSE,TRUE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Exp1","Root","MH63"
"2","Zotu104",0.831085370286567,-0.023147870127435,-0.5299084820269,-0.961488248045468,-0.90151754683949,0.366314960687447,0.463357972166064,0.463357123984506,0.463355120211071,0.327641488309297,2.26877266690639,-0.0499567753614456,-1.14362864969056,-2.07505691877859,-2.75153660023802,0.0232821539639211,0.960156833548808,0.252777674932532,0.0379812598573037,0.00593163910311814,0.178450042358198,0.969148332604238,0.519072872588729,0.444658651987945,0.510898549681185,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Exp1","Root","MH63"
"3","Zotu1157",-1.21910156018874,1.06881092211396,1.38700829210925,0.66938829197296,0.878980260913137,0.330961164651457,0.418638590529183,0.41863773192188,0.418635703518438,0.296020084786458,-3.68351846197001,2.55306354047036,3.31314687221762,1.59897564003037,2.96932642779024,0.000230036614830506,0.0106780014349832,0.000922525211001017,0.109826015411933,0.0029845336789851,0.00588893733966096,0.0648789960606574,0.0118478154188759,0.714651456893255,0.433510514219399,TRUE,FALSE,TRUE,FALSE,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Exp1","Root","MH63"
"4","Zotu117",0.22627686045891,0.996308648957634,-0.0228542962188506,-0.140050750272549,-0.865874628517195,0.37333367203592,0.472236013150669,0.472235166826961,0.472233167442546,0.333919215840233,0.606098183496126,2.10976846579415,-0.0483960065329591,-0.296571185440057,-2.59306618919314,0.544449557155072,0.0348783039082147,0.961400641902607,0.766793912310531,0.00951244614434636,0.815835829526998,0.145737417853694,0.970377772963517,0.991927394640331,0.541508964895117,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",NA,"Exp1","Root","MH63"
"5","Zotu11736",2.2977289641101,-2.19792730352694,-2.19694768627446,-2.36835501823406,-1.21046203056873,0.515111996826622,0.651572916063406,0.651572097179006,0.651570162617665,0.460729623164212,4.46063958569281,-3.37326375811645,-3.3717645304122,-3.63484265258442,-2.62727198276396,8.17154148188701e-06,0.000742827591030733,0.000746882747132458,0.000278150346130335,0.00860725060344601,0.000424036747168191,0.0100070629265306,0.0102796765196725,0.0205811149576797,0.541508964895117,TRUE,TRUE,TRUE,TRUE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","uncultured_bacterium","Exp1","Root","MH63"
"6","Zotu1197",-0.102169059780478,1.66954479405113,0.347649604111433,0.322814701692987,-0.962285536733074,0.407680218248317,0.515681318793174,0.515680480719639,0.515678500825588,0.364639706262988,-0.25061078562867,3.23755143575549,0.674156996647,0.625999922773916,-2.63900370750915,0.80211504206658,0.00120560204571824,0.500211506295076,0.531314991980999,0.00831500715409616,0.936509356705262,0.0141143654132868,0.737864296720311,0.991927394640331,0.541508964895117,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax","uncultured_bacterium","Exp1","Root","MH63"
"7","Zotu12783",2.26822695153093,-2.51895321489212,-1.83228868280783,-2.12439984153632,-1.29525213980998,0.518177104872421,0.655450004044431,0.655449185598464,0.655447252072885,0.463471139439912,4.3773198973918,-3.84308978465025,-2.79547022571222,-3.2411453931919,-2.79467701349266,1.20147568970136e-05,0.000121494995824215,0.00518242752496256,0.00119050447417834,0.00519515905196423,0.000591495724160667,0.00236822732977149,0.0462802830136191,0.055078761214998,0.510898549681185,TRUE,TRUE,TRUE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Exp1","Root","MH63"
"8","Zotu17543",1.21006292194189,-0.107822708853539,-1.44478190903794,-0.857861758882101,-1.21151176186324,0.490242746243549,0.620115535233288,0.620114712602725,0.6201127691914,0.438485886692187,2.46829337346429,-0.173875193778166,-2.32986232978404,-1.38339637805026,-2.76294357157659,0.0135759004398486,0.861963548148895,0.0198134285653733,0.166543360521658,0.00572826686907296,0.130328644222547,0.962560770737165,0.114579061002204,0.830337283381203,0.510898549681185,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Exp1","Root","MH63"
"9","Zotu184",-0.20681870370242,1.44010517954683,0.862341424707613,0.37365956523013,-0.921034783703706,0.396729287127633,0.501829371094426,0.501828530531701,0.501826544757143,0.354844894020296,-0.521309392608272,2.86971082702104,1.71839856094658,0.744599043502095,-2.59559824369637,0.602151258940236,0.00410847340442551,0.0857239426553629,0.456514146346722,0.0094426403749572,0.83537578257824,0.0348267944216202,0.287852420137577,0.991927394640331,0.541508964895117,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Exp1","Root","MH63"
"10","Zotu190",-2.15599749039711,2.69695296123625,2.51418272918455,1.8977787851,0.760918636667554,0.258519335750138,0.327006192313636,0.327005304709533,0.327003207803275,0.2312261236623,-8.33979200875291,8.24740639360606,7.68850747365646,5.80354791577979,3.29079874114421,7.44213187134813e-17,1.61869201313741e-16,1.48861324470408e-14,6.49261873925273e-09,0.000999033606707282,1.42888931929884e-13,2.07192577681589e-13,2.32423055677463e-11,8.3105519862435e-06,0.308938717214856,TRUE,TRUE,TRUE,TRUE,FALSE,"Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21","uncultured_bacterium","Exp1","Root","MH63"
"11","Zotu21",0.88687586221456,0.0253909361448936,-0.903934828575732,-0.742039653767013,-0.960079057696452,0.315618260316301,0.399231194028406,0.399230330254213,0.399228289644389,0.282296970469651,2.80996372429708,0.0635995797039021,-2.26419377505748,-1.85868505067109,-3.40095416574676,0.00495470841852247,0.949289066414112,0.0235621992873077,0.0630717936681259,0.000671510859239318,0.0656071735418147,0.965109497152189,0.12967552519688,0.567502667934145,0.259472379155619,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans",NA,"Exp1","Root","MH63"
"12","Zotu220",0.152281272867388,0.605794688949527,0.411842141324174,-0.388434191824332,-0.615782971325717,0.235453328953935,0.297829776067457,0.297828876110831,0.29782675002257,0.210595251651098,0.646757782291456,2.0340299648626,1.38281467768396,-1.30422868931315,-2.92401165979712,0.517788719695992,0.0419485743384198,0.166721697284736,0.192155620810964,0.003455518029075,0.792560209636667,0.163369701277416,0.422302979929674,0.85899602318289,0.4423063077216,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","metagenome","Exp1","Root","MH63"
"13","Zotu2469",-1.90959172980227,1.10299842974921,2.6591239066961,1.69469592142061,1.09415522430531,0.391889984147596,0.495708086070156,0.495707244367098,0.495705255898595,0.350516489079104,-4.87277503137989,2.22509670659903,5.36430309807391,3.41875721763032,3.12155136318961,1.10041506453448e-06,0.0260747467991394,8.1262350185916e-08,0.000629078288655625,0.00179900862679571,9.3902085506942e-05,0.120926361967023,6.63930690880675e-06,0.0350572128453343,0.363589111941869,TRUE,FALSE,TRUE,TRUE,FALSE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis","uncultured_bacterium","Exp1","Root","MH63"
